1987563,404
1987662,412
1987763,423
1987862,433
1987962,443
1988063,452
1988162,463
1988263,473
1988363,483
1988462,492
1988563,503
1988663,514
1988763,526
1988862,536
1988962,546
1989062,556
1989162,566
1989263,575
1989362,583
1989462,590
1989563,596
1989663,603
1989762,607
1989862,611
1989963,613
1990062,616
1990163,619
1990262,621
1990362,623
1990461,624
1990562,627
1990661,628
1990761,629
1990861,631
1990962,631
1991061,633
1991161,634
1991262,636
1991361,636
1991462,636
1991561,638
1991661,639
1991762,639
1991861,639
1991961,639
1992062,639
1992161,639
1992261,639
1992361,639
1992461,645
1992561,645
1992662,645
1992761,645
1992861,647
1992962,645
1993061,646
1993161,648
1993261,646
1993360,647
1993461,647
1993562,647
1993661,647
1993762,647
1993862,648
1993961,647
1994061,648
1994162,647
1994261,648
1994361,648
1994462,649
1994562,649
1994661,648
1994762,648
1994861,649
1994961,648
1995061,649
1995161,649
1995260,649
1995361,649
1995461,649
1995562,649
1995661,650
1995762,649
1995862,648
1995961,649
1996060,649
1996160,650
1996260,650
1996361,650
1996460,649
1996560,649
1996660,650
1996761,649
1996860,649
1996960,649
1997060,649
1997159,648
1997259,648
1997359,648
1997458,649
1997558,649
1997661,649
1997761,649
1997860,649
1997960,648
1998061,648
1998160,649
1998261,648
1998360,649
1998460,650
1998560,649
1998660,649
1998760,649
1998859,650
1998959,649
1999060,651
1999159,650
1999259,651
1999360,650
1999459,652
1999559,652
1999659,652
1999760,652
1999860,651
1999959,651
2000060,652
2000159,652
2000260,652
2000359,652
2000459,652
2000559,652
2000659,652
2000759,652
2000859,653
2000959,653
2001059,652
2001158,652
2001259,652
2001358,652
2001458,652
2001558,653
2001661,652
2001760,652
2001860,653
2001959,653
2002059,654
2002160,654
2002259,653
2002359,654
2002460,653
2002562,652
2002662,653
2002762,652
2002862,654
2002963,654
2003062,652
2003163,652
2003262,653
2003363,652
2003462,652
2003562,652
2003662,652
2003762,652
2003861,652
2003962,651
2004061,652
2004161,651
2004262,651
2004361,650
2004461,650
2004562,649
2004662,649
2004761,648
2004861,648
2004962,648
2005062,647
2005161,647
2005260,645
2005360,645
2005459,639
2005560,639
2005659,639
2005760,639
2005860,639
2005959,639
2006059,638
2006160,637
2006259,637
2006359,636
2006460,635
2006560,635
2006660,633
2006759,630
